Flight_Number,Date,Day_of_Week,Source,Destination,Departure_Time,Arrival_Time,Price,Aircraft_Type,Class,Seat_Occupancy_Rate,Delay_Status,Delay_Minutes,Weather_Conditions,Passenger_Rating,Meal_Opted,Booking_Channel,Duration_Minutes
6E1376,2025-02-12,Monday,Amd,Cok,13:36:00,14:11:00,5122.02,A320Neo,Economy,83.42,On-Time,0.0,Storm,4.0,Yes,Website,95
6E2249,2024-12-04,Wednesday,Bom,Pnq,20:35:00,22:06:00,8785.34,A320,Economy,81.86,On-Time,0.0,Cloudy,1.0,No,Airport,151
6E5994,2024-12-22,Wednesday,Bom,Pnq,11:33:00,14:34:00,6164.38,A320Neo,Economy,91.42,On-Time,0.0,Cloudy,3.0,Yes,Airport,181
6E9657,2025-04-07,Friday,Hyd,Pnq,09:30:00,11:34:00,6737.8,A321Neo,Economy,91.4,Delayed,11.0,Rainy,5.0,No,App,124
6E7676,2024-09-29,Saturday,Goi,Hyd,20:15:00,23:14:00,6225.69,A320,Economy,73.62,On-Time,0.0,Cloudy,5.0,No,Airport,239
6E8750,2025-06-04,Monday,Amd,Ccu,10:04:00,13:59:00,6752.85,A321Neo,Economy,91.34,On-Time,0.0,Rainy,4.0,Yes,Airport,235
6E3983,2025-04-01,Monday,Blr,Bom,09:20:00,12:08:00,3468.98,A320Neo,Economy,77.41,Delayed,122.0,Rainy,2.0,No,Travel Agency,228
6E9440,2025-03-22,Tuesday,Amd,Maa,04:59:00,05:29:00,5524.94,A320Neo,Economy,71.51,On-Time,0.0,Storm,5.0,No,Website,90
6E3230,2025-01-11,Monday,Amd,Goi,00:55:00,02:29:00,6933.02,A320Neo,Economy,92.6,Cancelled,0.0,Fog,1.0,No,Airport,154
6E4885,2025-01-25,Thursday,Cok,Bom,23:09:00,00:45:00,3747.22,A320,Premium Economy,88.71,On-Time,0.0,Storm,1.0,Yes,App,96
6E8317,2025-07-06,Wednesday,Goi,Blr,13:10:00,14:58:00,8696.5,A320,Economy,75.81,On-Time,0.0,Rainy,1.0,No,Website,108
6E2943,2024-08-08,Friday,Goi,Blr,05:27:00,06:43:00,5044.81,A321Neo,Economy,75.62,Delayed,43.0,Rainy,3.0,Yes,Travel Agency,76
6E6242,2025-01-18,Tuesday,Blr,Del,23:16:00,02:03:00,5050.37,A321Neo,Economy,97.11,Delayed,100.0,Clear,3.0,Yes,Website,227
6E3708,2025-03-31,Saturday,Pnq,Goi,05:24:00,06:33:00,8218.94,A320Neo,Economy,77.22,On-Time,0.0,Fog,3.0,No,Airport,69
6E9415,2025-03-31,Sunday,Cok,Pnq,16:10:00,19:55:00,2998.16,A320,Economy,74.05,On-Time,0.0,Fog,4.0,No,Website,225
6E8707,2025-08-02,Thursday,Amd,Bom,20:04:00,23:02:00,8475.34,A321Neo,Economy,80.68,On-Time,0.0,Cloudy,3.0,Yes,Airport,238
6E4573,2025-03-07,Thursday,Goi,Pnq,08:46:00,11:02:00,6537.35,A320,Economy,84.93,On-Time,0.0,Fog,1.0,No,Website,196
6E6603,2025-04-15,Thursday,Maa,Ccu,07:24:00,10:00:00,4167.27,A321Neo,Economy,70.71,On-Time,0.0,Clear,2.0,No,App,216
6E7097,2024-12-10,Sunday,Blr,Amd,09:35:00,10:26:00,8390.24,A320,Economy,96.46,Delayed,121.0,Storm,4.0,Yes,App,111
6E1052,2025-06-09,Saturday,Del,Pnq,16:24:00,18:02:00,4774.82,A321Neo,Economy,99.87,On-Time,0.0,Cloudy,4.0,No,Travel Agency,158
6E4308,2024-09-17,Friday,Blr,Amd,18:31:00,21:02:00,9022.24,A321Neo,Economy,98.24,On-Time,0.0,Storm,2.0,No,Travel Agency,211
6E4209,2024-10-29,Wednesday,Maa,Blr,18:40:00,19:20:00,4327.69,A320Neo,Economy,88.18,On-Time,0.0,Rainy,5.0,Yes,Website,100
6E3162,2025-02-17,Wednesday,Blr,Cok,11:02:00,13:24:00,7029.55,A320,Economy,92.93,Delayed,52.0,Rainy,3.0,No,App,142
6E9727,2025-05-16,Friday,Goi,Pnq,13:50:00,15:08:00,8624.38,A320,Economy,93.14,Delayed,111.0,Cloudy,2.0,Yes,App,138
6E9154,2025-05-09,Monday,Cok,Maa,08:16:00,11:30:00,6824.27,A320Neo,Economy,88.5,On-Time,0.0,Cloudy,5.0,No,Travel Agency,194
6E9247,2024-09-21,Friday,Ccu,Pnq,07:25:00,10:50:00,4367.43,A320,Economy,99.88,On-Time,0.0,Storm,5.0,No,Travel Agency,205
6E9377,2024-12-18,Friday,Maa,Amd,05:21:00,08:34:00,3129.15,A320Neo,Economy,83.97,On-Time,0.0,Clear,3.0,No,Airport,193
6E1751,2024-11-21,Saturday,Amd,Del,17:29:00,19:23:00,4749.45,A320Neo,Economy,83.56,On-Time,0.0,Cloudy,4.0,Yes,Airport,174
6E5010,2024-10-04,Saturday,Del,Hyd,11:47:00,12:31:00,6025.005,A320Neo,Economy,93.79,On-Time,0.0,Fog,2.0,Yes,Travel Agency,104
6E2076,2024-08-13,Wednesday,Ccu,Bom,11:18:00,13:00:00,7566.74,A320,Economy,89.58,Delayed,146.0,Cloudy,1.0,Yes,Travel Agency,162
6E2209,2025-05-01,Monday,Amd,Bom,17:10:00,20:47:00,8498.89,A320Neo,Economy,70.78,On-Time,0.0,Fog,2.0,Yes,Website,217
6E4525,2024-08-22,Thursday,Amd,Cok,16:09:00,18:20:00,7260.0,A321Neo,Premium Economy,80.04,On-Time,0.0,Clear,4.0,Yes,Website,131
6E7804,2025-05-01,Saturday,Maa,Bom,10:56:00,13:57:00,7066.72,A321Neo,Economy,87.82,Delayed,156.0,Storm,1.0,No,Travel Agency,181
6E9431,2024-09-27,Monday,Del,Ccu,10:26:00,13:15:00,3746.03,A320,Economy,76.91,On-Time,0.0,Cloudy,1.0,Yes,Website,229
6E8505,2025-03-02,Sunday,Amd,Del,23:16:00,01:35:00,6294.0,A321Neo,Economy,88.44,On-Time,0.0,Cloudy,1.0,No,App,139
6E6374,2024-11-20,Wednesday,Pnq,Bom,21:08:00,00:06:00,9001.63,A320Neo,Economy,73.42,On-Time,0.0,Storm,1.0,Yes,Travel Agency,238
6E8635,2024-09-13,Monday,Pnq,Ccu,17:21:00,18:52:00,3461.63,A320,Economy,91.37,Cancelled,0.0,Storm,5.0,No,Airport,91
6E7926,2025-05-10,Sunday,Cok,Bom,19:13:00,20:05:00,4197.39,A320Neo,Economy,80.4,On-Time,0.0,Fog,1.0,No,Airport,112
6E7827,2025-06-10,Monday,Ccu,Goi,08:19:00,09:13:00,9136.93,A320,Economy,73.67,On-Time,0.0,Fog,5.0,Yes,Airport,114
6E6526,2024-10-18,Tuesday,Amd,Pnq,06:47:00,08:06:00,2625.2,A321Neo,Economy,72.94,On-Time,0.0,Clear,3.0,Yes,Website,139
6E1692,2025-07-31,Monday,Maa,Pnq,07:36:00,10:48:00,4942.71,A321Neo,Economy,84.39,Cancelled,0.0,Rainy,5.0,No,Website,192
6E5796,2024-10-02,Saturday,Del,Goi,14:14:00,15:52:00,7289.97,A320Neo,Economy,83.02,On-Time,0.0,Storm,2.0,No,Website,98
6E4961,2025-07-03,Thursday,Blr,Ccu,19:17:00,20:38:00,8355.51,A320,Economy,90.1,On-Time,0.0,Fog,1.0,No,Travel Agency,81
6E9875,2025-02-01,Wednesday,Blr,Amd,03:21:00,04:06:00,9200.87,A320,Economy,70.46,On-Time,0.0,Rainy,4.0,No,Travel Agency,105
6E2239,2024-08-12,Saturday,Bom,Maa,01:57:00,03:57:00,8442.9,A320Neo,Economy,73.08,Delayed,57.0,Storm,3.0,Yes,Airport,120
6E1890,2024-10-21,Friday,Maa,Amd,13:50:00,15:06:00,4300.61,A320Neo,Economy,83.34,Delayed,61.0,Cloudy,2.0,Yes,Website,136
6E6549,2025-04-04,Thursday,Goi,Maa,07:28:00,09:18:00,4811.04,A320,Economy,95.84,Cancelled,0.0,Rainy,4.0,No,Website,170
6E8126,2025-06-18,Saturday,Pnq,Maa,06:38:00,07:13:00,8305.95,A320,Economy,72.33,On-Time,0.0,Storm,5.0,No,Website,95
6E9987,2024-08-29,Wednesday,Goi,Ccu,19:49:00,20:37:00,7948.33,A321Neo,Economy,95.12,On-Time,0.0,Clear,5.0,Yes,App,108
6E6100,2025-04-04,Tuesday,Cok,Goi,02:15:00,05:07:00,6210.78,A321Neo,Economy,76.74,On-Time,0.0,Cloudy,3.0,No,Airport,232
6E3376,2025-04-22,Tuesday,Hyd,Blr,15:02:00,17:48:00,2870.85,A321Neo,Economy,75.07,On-Time,0.0,Rainy,4.0,No,Website,166
6E4992,2024-09-29,Friday,Goi,Ccu,07:02:00,10:19:00,4411.27,A321Neo,Economy,71.34,On-Time,0.0,Clear,5.0,Yes,App,197
6E4662,2025-07-15,Wednesday,Ccu,Del,09:19:00,11:49:00,5895.82,A320Neo,Economy,91.16,On-Time,0.0,Clear,2.0,No,Airport,150
6E5367,2024-12-29,Saturday,Goi,Blr,05:52:00,07:15:00,5472.11,A320Neo,Economy,89.75,Delayed,129.0,Cloudy,1.0,No,Website,143
6E9629,2025-04-02,Wednesday,Hyd,Cok,20:07:00,22:05:00,7942.44,A320Neo,Premium Economy,80.73,On-Time,0.0,Storm,1.0,Yes,Airport,178
6E5789,2025-03-04,Tuesday,Goi,Del,16:27:00,17:32:00,5940.82,A320Neo,Economy,73.81,On-Time,0.0,Clear,2.0,No,Airport,65
6E3951,2025-03-09,Tuesday,Cok,Ccu,05:16:00,07:51:00,7993.21,A320,Economy,78.35,Delayed,57.0,Fog,5.0,Yes,Airport,155
6E5972,2024-10-07,Wednesday,Maa,Del,00:43:00,03:21:00,4917.56,A320Neo,Economy,81.95,Delayed,132.0,Fog,5.0,Yes,Website,218
6E5840,2025-07-13,Tuesday,Hyd,Del,19:30:00,21:07:00,5439.82,A321Neo,Economy,92.99,Delayed,178.0,Rainy,2.0,No,Website,157
6E5361,2025-08-02,Friday,Del,Goi,04:39:00,05:16:00,2561.01,A320Neo,Economy,81.69,On-Time,0.0,Clear,5.0,No,Website,97
6E6853,2024-09-26,Wednesday,Maa,Amd,15:32:00,18:44:00,6025.005,A320,Economy,75.33,On-Time,0.0,Storm,4.0,No,Website,192
6E3431,2025-05-15,Tuesday,Maa,Ccu,14:41:00,16:27:00,7083.47,A320Neo,Premium Economy,98.21,Delayed,57.0,Storm,3.0,No,Website,166
6E5298,2025-08-04,Friday,Hyd,Del,09:28:00,11:46:00,4760.89,A320Neo,Economy,97.52,On-Time,0.0,Clear,5.0,No,Travel Agency,138
6E6800,2025-05-20,Friday,Del,Pnq,12:48:00,13:49:00,3524.5,A321Neo,Economy,76.67,Delayed,0.0,Cloudy,3.0,Yes,Airport,61
6E3949,2025-01-06,Friday,Maa,Bom,16:24:00,18:02:00,6315.52,A320,Economy,74.77,Delayed,99.0,Storm,4.0,No,Airport,158
6E3344,2025-05-07,Monday,Ccu,Blr,03:33:00,04:02:00,6040.9,A320Neo,Economy,96.54,Delayed,0.0,Rainy,1.0,Yes,App,89
6E7223,2024-09-18,Thursday,Bom,Blr,16:40:00,19:11:00,6025.005,A320Neo,Premium Economy,83.78,Delayed,25.0,Rainy,1.0,No,Website,211
6E4107,2025-06-26,Friday,Blr,Ccu,09:21:00,10:57:00,6464.94,A320,Economy,92.95,Delayed,115.0,Fog,1.0,Yes,Website,96
6E3688,2024-11-10,Monday,Bom,Goi,09:34:00,12:08:00,2842.98,A321Neo,Premium Economy,70.78,On-Time,0.0,Fog,5.0,Yes,Travel Agency,214
6E4601,2025-06-23,Thursday,Amd,Cok,02:24:00,05:23:00,3901.84,A320,Economy,86.82,Delayed,102.0,Rainy,3.0,Yes,Airport,239
6E8159,2025-05-28,Monday,Amd,Blr,01:00:00,03:12:00,5985.97,A320Neo,Economy,91.14,Delayed,107.0,Rainy,4.0,Yes,Website,132
6E6966,2025-02-19,Friday,Ccu,Hyd,16:18:00,18:15:00,3523.85,A321Neo,Economy,90.38,Delayed,172.0,Rainy,4.0,No,Website,177
6E5599,2025-01-16,Wednesday,Hyd,Goi,12:07:00,13:59:00,6138.37,A320,Economy,85.03,Delayed,35.0,Rainy,1.0,No,Website,112
6E3109,2025-01-03,Wednesday,Bom,Cok,09:07:00,11:52:00,8279.42,A320,Economy,87.62,On-Time,0.0,Storm,3.0,No,Travel Agency,165
6E5636,2025-02-09,Saturday,Hyd,Bom,14:32:00,15:51:00,7836.02,A320Neo,Economy,95.36,On-Time,0.0,Storm,5.0,No,Airport,79
6E2691,2025-07-07,Sunday,Pnq,Hyd,22:11:00,00:25:00,6524.3,A320Neo,Economy,96.13,Delayed,63.0,Clear,1.0,Yes,App,134
6E2927,2025-03-24,Monday,Goi,Hyd,19:30:00,21:23:00,8553.86,A321Neo,Economy,84.86,Delayed,19.0,Rainy,2.0,Yes,Website,173
6E9470,2025-07-16,Sunday,Maa,Cok,11:28:00,13:41:00,3514.82,A321Neo,Economy,97.94,On-Time,0.0,Rainy,4.0,Yes,Travel Agency,133
6E3780,2025-07-14,Friday,Cok,Del,11:36:00,14:45:00,6025.005,A320Neo,Economy,81.53,On-Time,0.0,Cloudy,4.0,No,Website,189
6E7469,2024-12-17,Friday,Ccu,Bom,21:05:00,00:13:00,6591.3,A320Neo,Economy,75.84,Cancelled,0.0,Rainy,2.0,Yes,Website,188
6E8068,2024-12-07,Tuesday,Blr,Amd,05:25:00,07:07:00,6558.52,A320Neo,Economy,76.71,On-Time,0.0,Cloudy,2.0,Yes,Travel Agency,162
6E6263,2024-08-29,Friday,Blr,Cok,16:05:00,17:32:00,3894.06,A320Neo,Economy,86.16,On-Time,0.0,Cloudy,3.0,Yes,Website,87
6E5962,2024-08-26,Sunday,Ccu,Bom,23:41:00,01:36:00,4045.77,A320,Economy,82.46,On-Time,0.0,Rainy,5.0,Yes,Travel Agency,175
6E1817,2024-09-02,Sunday,Blr,Maa,05:36:00,06:49:00,6397.26,A320,Economy,99.72,Delayed,43.0,Clear,4.0,No,App,73
6E4847,2024-10-22,Thursday,Goi,Ccu,16:05:00,19:07:00,8079.71,A320Neo,Economy,92.15,On-Time,0.0,Fog,1.0,Yes,Travel Agency,182
6E2279,2025-07-28,Wednesday,Bom,Pnq,11:32:00,13:54:00,6168.14,A320,Economy,80.65,On-Time,0.0,Storm,2.0,No,App,142
6E5028,2025-07-05,Wednesday,Blr,Pnq,01:36:00,04:24:00,9187.21,A321Neo,Economy,86.91,On-Time,0.0,Cloudy,4.0,No,Travel Agency,228
6E7041,2024-08-21,Saturday,Amd,Del,19:36:00,21:21:00,2544.6,A320,Premium Economy,79.84,On-Time,0.0,Clear,3.0,No,Airport,165
6E7880,2025-01-11,Tuesday,Ccu,Maa,09:19:00,12:50:00,5810.33,A320,Economy,77.06,On-Time,0.0,Rainy,2.0,No,App,211
6E1429,2025-05-19,Thursday,Hyd,Bom,09:45:00,11:45:00,4950.53,A320,Premium Economy,80.19,Delayed,134.0,Fog,4.0,Yes,Website,120
6E2790,2025-03-13,Saturday,Del,Amd,14:33:00,15:38:00,3569.55,A320,Premium Economy,79.02,Delayed,13.0,Clear,1.0,Yes,Website,65
6E1312,2025-07-26,Tuesday,Hyd,Ccu,11:19:00,14:30:00,4505.0,A321Neo,Economy,83.28,On-Time,0.0,Cloudy,1.0,Yes,Travel Agency,191
6E5183,2025-07-31,Friday,Blr,Hyd,11:53:00,12:01:00,6025.005,A321Neo,Economy,88.14,On-Time,0.0,Clear,1.0,Yes,App,68
6E6698,2025-03-22,Wednesday,Blr,Cok,21:43:00,00:57:00,5011.01,A320,Economy,70.89,On-Time,0.0,Clear,3.0,Yes,Airport,194
6E8680,2024-12-30,Thursday,Bom,Maa,04:03:00,07:04:00,2766.41,A320,Economy,85.76,On-Time,0.0,Rainy,3.0,No,App,181
6E9046,2025-03-03,Saturday,Cok,Hyd,16:37:00,19:26:00,7509.41,A321Neo,Economy,88.62,On-Time,0.0,Clear,4.0,No,App,229
6E3904,2024-08-17,Monday,Cok,Pnq,14:58:00,16:48:00,6677.47,A320,Economy,91.28,On-Time,0.0,Cloudy,3.0,No,Website,170
6E3368,2025-01-05,Wednesday,Hyd,Pnq,11:23:00,12:37:00,2692.29,A321Neo,Economy,85.82,Delayed,45.0,Cloudy,1.0,Yes,Travel Agency,74
6E5785,2024-11-26,Monday,Pnq,Ccu,09:13:00,10:25:00,3262.48,A320,Economy,73.39,On-Time,0.0,Rainy,3.0,Yes,Travel Agency,72
6E8902,2025-01-14,Monday,Maa,Amd,10:02:00,13:03:00,4261.43,A321Neo,Economy,81.84,Delayed,70.0,Clear,5.0,Yes,App,181
6E2836,2024-11-05,Thursday,Maa,Del,16:39:00,17:15:00,8334.76,A320,Premium Economy,84.77,On-Time,0.0,Storm,2.0,No,App,96
6E2819,2024-12-07,Wednesday,Amd,Blr,02:05:00,03:14:00,8605.91,A320,Economy,93.09,Delayed,119.0,Storm,5.0,Yes,Airport,69
6E9279,2025-02-20,Thursday,Blr,Ccu,15:55:00,17:10:00,2709.34,A321Neo,Economy,71.82,On-Time,0.0,Fog,5.0,Yes,Website,135
6E6393,2025-02-19,Sunday,Maa,Cok,18:06:00,20:49:00,6063.3,A320,Economy,99.75,On-Time,0.0,Rainy,5.0,No,Airport,163
6E3683,2025-08-01,Wednesday,Del,Maa,19:48:00,22:44:00,6581.41,A321Neo,Economy,78.54,On-Time,0.0,Cloudy,1.0,Yes,Website,236
6E8830,2024-10-31,Tuesday,Cok,Ccu,14:28:00,17:46:00,9068.18,A320,Economy,73.38,On-Time,0.0,Rainy,3.0,No,Travel Agency,198
6E6829,2025-04-25,Thursday,Blr,Amd,13:19:00,15:27:00,8653.83,A320Neo,Economy,82.2,On-Time,0.0,Rainy,1.0,No,Airport,128
6E9321,2025-06-08,Monday,Cok,Pnq,13:57:00,16:29:00,4829.18,A320Neo,Economy,90.25,On-Time,0.0,Cloudy,5.0,No,Website,212
6E3577,2025-03-07,Monday,Bom,Ccu,10:35:00,12:19:00,6849.41,A320,Economy,87.23,Delayed,18.0,Clear,3.0,No,Travel Agency,164
6E4049,2024-11-16,Saturday,Maa,Blr,08:33:00,09:52:00,8648.19,A321Neo,Economy,71.01,On-Time,0.0,Storm,3.0,No,App,79
6E9757,2025-03-16,Wednesday,Goi,Hyd,07:23:00,11:23:00,4920.21,A320,Economy,84.98,Delayed,167.0,Cloudy,5.0,Yes,Airport,240
6E6100,2024-12-25,Saturday,Pnq,Maa,11:28:00,13:01:00,9308.76,A320,Economy,82.37,Delayed,22.0,Clear,2.0,No,Airport,153
6E6517,2025-08-01,Tuesday,Hyd,Goi,18:38:00,19:20:00,5994.38,A320Neo,Economy,78.51,On-Time,0.0,Cloudy,5.0,Yes,Website,102
6E9195,2025-06-04,Wednesday,Blr,Del,23:15:00,00:48:00,5300.72,A321Neo,Economy,77.44,Delayed,147.0,Cloudy,2.0,Yes,Airport,93
6E4844,2025-05-13,Sunday,Blr,Hyd,17:12:00,19:27:00,6211.63,A321Neo,Economy,78.29,On-Time,0.0,Storm,5.0,No,Travel Agency,135
6E7309,2024-09-02,Wednesday,Maa,Amd,17:57:00,19:34:00,7788.99,A320,Economy,81.15,On-Time,0.0,Cloudy,5.0,No,Airport,157
6E3213,2025-07-18,Sunday,Goi,Ccu,18:12:00,21:10:00,3856.89,A320Neo,Economy,74.3,Delayed,48.0,Rainy,3.0,No,App,238
6E6205,2024-09-04,Saturday,Ccu,Maa,23:56:00,02:20:00,7053.89,A320,Economy,79.08,On-Time,0.0,Cloudy,1.0,Yes,Airport,204
6E7152,2025-03-16,Sunday,Bom,Cok,17:15:00,18:11:00,4469.11,A320,Economy,82.51,Delayed,21.0,Fog,2.0,Yes,Travel Agency,116
6E6964,2024-10-01,Saturday,Cok,Bom,13:14:00,16:53:00,5491.35,A320Neo,Premium Economy,96.61,On-Time,0.0,Rainy,4.0,Yes,Travel Agency,219
6E7774,2024-10-13,Sunday,Pnq,Del,20:15:00,23:13:00,4359.44,A320,Premium Economy,88.36,On-Time,0.0,Fog,5.0,No,Airport,238
6E7039,2025-01-31,Saturday,Goi,Ccu,09:28:00,10:18:00,6094.89,A321Neo,Economy,82.35,Cancelled,0.0,Clear,4.0,Yes,Website,110
6E9870,2025-06-23,Saturday,Ccu,Hyd,10:46:00,13:30:00,4989.87,A320,Premium Economy,97.74,On-Time,0.0,Fog,1.0,Yes,App,224
6E4338,2025-02-14,Saturday,Blr,Goi,07:39:00,09:43:00,7022.3,A320Neo,Economy,82.36,On-Time,0.0,Fog,5.0,Yes,Airport,124
6E7608,2025-03-02,Tuesday,Del,Pnq,11:05:00,13:43:00,4929.49,A321Neo,Economy,97.43,On-Time,0.0,Cloudy,3.0,No,App,158
6E9411,2025-06-13,Tuesday,Amd,Bom,02:05:00,03:02:00,3660.58,A321Neo,Premium Economy,96.05,Delayed,10.0,Fog,1.0,Yes,Website,117
6E4275,2024-08-15,Friday,Del,Goi,04:10:00,06:22:00,7933.93,A320,Economy,85.6,On-Time,0.0,Rainy,3.0,No,App,132
6E5225,2025-01-12,Saturday,Bom,Blr,17:46:00,18:28:00,3918.9,A320Neo,Economy,97.92,On-Time,0.0,Storm,5.0,No,App,102
6E4874,2024-09-08,Saturday,Goi,Cok,14:27:00,17:35:00,5242.12,A321Neo,Premium Economy,75.53,On-Time,0.0,Rainy,4.0,No,Website,188
6E7147,2025-01-07,Sunday,Maa,Cok,04:47:00,05:40:00,6802.69,A321Neo,Economy,83.95,On-Time,0.0,Clear,2.0,Yes,App,113
6E3684,2025-08-04,Saturday,Goi,Amd,07:10:00,09:15:00,5205.52,A320,Economy,80.45,Delayed,0.0,Storm,1.0,Yes,App,125
6E7802,2024-08-29,Monday,Goi,Ccu,03:00:00,05:02:00,7886.69,A321Neo,Economy,80.97,On-Time,0.0,Rainy,1.0,No,Airport,122
6E7852,2025-07-20,Tuesday,Blr,Del,02:43:00,04:11:00,6485.16,A320,Economy,91.29,On-Time,0.0,Storm,4.0,Yes,Travel Agency,148
6E6940,2025-03-24,Saturday,Amd,Goi,22:39:00,00:43:00,3714.33,A321Neo,Economy,78.91,On-Time,0.0,Fog,3.0,Yes,Travel Agency,124
6E9909,2024-08-14,Saturday,Pnq,Blr,07:59:00,08:02:00,6429.8,A321Neo,Economy,86.85,On-Time,0.0,Cloudy,4.0,Yes,App,63
6E3056,2025-08-02,Thursday,Ccu,Hyd,04:15:00,06:46:00,6359.53,A320Neo,Economy,70.64,On-Time,0.0,Storm,5.0,No,Airport,151
6E5727,2025-07-26,Friday,Hyd,Cok,09:40:00,10:37:00,3172.45,A320,Economy,97.67,On-Time,0.0,Clear,4.0,No,App,117
6E6404,2024-09-29,Monday,Amd,Maa,23:34:00,00:59:00,7995.65,A320,Economy,77.29,On-Time,0.0,Cloudy,4.0,No,App,85
6E3409,2025-07-19,Thursday,Goi,Pnq,22:48:00,00:53:00,7807.12,A320,Economy,92.12,Delayed,59.0,Rainy,2.0,Yes,Travel Agency,125
6E1584,2025-04-01,Wednesday,Maa,Del,11:26:00,13:18:00,3649.97,A320,Economy,94.38,Delayed,178.0,Clear,2.0,No,Website,172
6E8336,2024-10-09,Thursday,Cok,Blr,03:17:00,05:42:00,4046.39,A320,Economy,74.48,On-Time,0.0,Rainy,5.0,No,Website,145
6E6973,2025-02-16,Saturday,Pnq,Goi,22:47:00,00:42:00,7396.78,A320Neo,Economy,74.45,On-Time,0.0,Cloudy,2.0,No,App,175
6E5531,2025-02-20,Monday,Hyd,Ccu,04:00:00,07:50:00,9054.13,A320,Economy,90.92,On-Time,0.0,Fog,1.0,No,Airport,230
6E5825,2025-02-05,Tuesday,Del,Amd,17:39:00,20:51:00,7454.96,A320,Economy,84.63,On-Time,0.0,Clear,2.0,Yes,Website,192
6E6782,2025-06-23,Sunday,Del,Blr,00:25:00,03:03:00,6979.18,A320Neo,Economy,97.83,Cancelled,0.0,Rainy,4.0,No,Travel Agency,218
6E5456,2024-12-16,Tuesday,Ccu,Pnq,04:55:00,07:39:00,4208.8,A320,Economy,97.86,On-Time,0.0,Rainy,2.0,No,App,224
6E1487,2025-07-30,Wednesday,Amd,Pnq,20:56:00,23:17:00,3386.04,A321Neo,Economy,99.66,On-Time,0.0,Clear,4.0,No,App,201
